,Legal
Bulbasaur,Y
Ivysaur,Y
Venusaur,N
Charmander,Y
Charmeleon,Y
Charizard,Y
Squirtle,Y
Wartortle,Y
Blastoise,Y
Caterpie,Y
Metapod,Y
Butterfree,Y
Weedle,Y
Kakuna,Y
Beedrill,Y
Pidgey,Y
Pidgeotto,Y
Pidgeot,Y
Rattata,Y
Raticate,Y
Spearow,Y
Fearow,Y
Ekans,Y
Arbok,Y
Pikachu,Y
Raichu,Y
Sandshrew,Y
Sandslash,Y
Nidoranf,Y
Nidorina,Y
Nidoqueen,Y
Nidoranm,Y
Nidorino,Y
Nidoking,Y
Clefairy,Y
Clefable,Y
Vulpix,Y
Ninetales,Y
Jigglypuff,Y
Wigglytuff,Y
Zubat,Y
Golbat,Y
Oddish,Y
Gloom,Y
Vileplume,Y
Paras,Y
Parasect,Y
Venonat,Y
Venomoth,Y
Diglett,Y
Dugtrio,N
Meowth,Y
Persian,Y
Psyduck,Y
Golduck,Y
Mankey,Y
Primeape,Y
Growlithe,Y
Arcanine,Y
Poliwag,Y
Poliwhirl,Y
Poliwrath,Y
Abra,Y
Kadabra,Y
Alakazam,N
Machop,Y
Machoke,Y
Machamp,Y
Bellsprout,Y
Weepinbell,Y
Victreebel,Y
Tentacool,Y
Tentacruel,Y
Geodude,Y
Graveler,Y
Golem,N
Ponyta,Y
Rapidash,Y
Slowpoke,Y
Slowbro,Y
Magnemite,Y
Magneton,N
Farfetchd,Y
Doduo,Y
Dodrio,Y
Seel,Y
Dewgong,Y
Grimer,Y
Muk,Y
Shellder,Y
Cloyster,Y
Gastly,Y
Haunter,Y
Gengar,N
Onix,Y
Drowzee,Y
Hypno,N
Krabby,Y
Kingler,Y
Voltorb,Y
Electrode,N
Exeggcute,Y
Exeggutor,N
Cubone,Y
Marowak,Y
Hitmonlee,Y
Hitmonchan,Y
Lickitung,Y
Koffing,Y
Weezing,Y
Rhyhorn,Y
Rhydon,Y
Chansey,N
Tangela,Y
Kangaskhan,N
Horsea,Y
Seadra,Y
Goldeen,Y
Seaking,Y
Staryu,Y
Starmie,N
Mrmime,Y
Scyther,Y
Jynx,N
Electabuzz,Y
Magmar,Y
Pinsir,Y
Tauros,Y
Magikarp,Y
Gyarados,N
Lapras,N
Ditto,N
Eevee,Y
Vaporeon,N
Jolteon,N
Flareon,Y
Porygon,Y
Omanyte,Y
Omastar,Y
Kabuto,Y
Kabutops,Y
Aerodactyl,Y
Snorlax,N
Articuno,N
Zapdos,N
Moltres,Y
Dratini,Y
Dragonair,Y
Dragonite,N
Mewtwo,N
Mew,N
