,Legal
Bulbasaur,Y
Ivysaur,N
Venusaur,N
Charmander,Y
Charmeleon,N
Charizard,N
Squirtle,Y
Wartortle,N
Blastoise,N
Caterpie,Y
Metapod,N
Butterfree,N
Weedle,Y
Kakuna,N
Beedrill,N
Pidgey,Y
Pidgeotto,N
Pidgeot,N
Rattata,Y
Raticate,N
Spearow,Y
Fearow,N
Ekans,Y
Arbok,N
Pikachu,Y
Raichu,N
Sandshrew,Y
Sandslash,N
Nidoranf,Y
Nidorina,N
Nidoqueen,N
Nidoranm,Y
Nidorino,N
Nidoking,N
Clefairy,Y
Clefable,N
Vulpix,Y
Ninetales,N
Jigglypuff,Y
Wigglytuff,N
Zubat,Y
Golbat,N
Oddish,Y
Gloom,N
Vileplume,N
Paras,Y
Parasect,N
Venonat,N
Venomoth,N
Diglett,Y
Dugtrio,N
Meowth,Y
Persian,N
Psyduck,Y
Golduck,N
Mankey,Y
Primeape,N
Growlithe,Y
Arcanine,N
Poliwag,Y
Poliwhirl,N
Poliwrath,N
Abra,Y
Kadabra,N
Alakazam,N
Machop,Y
Machoke,N
Machamp,N
Bellsprout,Y
Weepinbell,N
Victreebel,N
Tentacool,Y
Tentacruel,N
Geodude,Y
Graveler,N
Golem,N
Ponyta,N
Rapidash,N
Slowpoke,N
Slowbro,N
Magnemite,Y
Magneton,N
Farfetchd,Y
Doduo,N
Dodrio,N
Seel,N
Dewgong,N
Grimer,N
Muk,N
Shellder,Y
Cloyster,N
Gastly,Y
Haunter,N
Gengar,N
Onix,N
Drowzee,N
Hypno,N
Krabby,Y
Kingler,N
Voltorb,Y
Electrode,N
Exeggcute,Y
Exeggutor,N
Cubone,Y
Marowak,N
Hitmonlee,N
Hitmonchan,N
Lickitung,N
Koffing,Y
Weezing,N
Rhyhorn,N
Rhydon,N
Chansey,N
Tangela,N
Kangaskhan,N
Horsea,Y
Seadra,N
Goldeen,Y
Seaking,N
Staryu,N
Starmie,N
Mrmime,N
Scyther,N
Jynx,N
Electabuzz,N
Magmar,N
Pinsir,N
Tauros,N
Magikarp,Y
Gyarados,N
Lapras,N
Ditto,Y
Eevee,Y
Vaporeon,N
Jolteon,N
Flareon,N
Porygon,N
Omanyte,Y
Omastar,N
Kabuto,Y
Kabutops,N
Aerodactyl,N
Snorlax,N
Articuno,N
Zapdos,N
Moltres,N
Dratini,Y
Dragonair,N
Dragonite,N
Mewtwo,N
Mew,N
