,Violet
Bulbasaur,N
Ivysaur,N
Venusaur,N
Charmander,N
Charmeleon,N
Charizard,Y
Squirtle,N
Wartortle,N
Blastoise,Y
Caterpie,N
Metapod,N
Butterfree,Y
Weedle,N
Kakuna,N
Beedrill,Y
Pidgey,N
Pidgeotto,N
Pidgeot,Y
Rattata,N
Raticate,N
Spearow,N
Fearow,N
Ekans,N
Arbok,Y
Pikachu,N
Raichu,N
Sandshrew,N
Sandslash,N
Nidoranf,N
Nidorina,N
Nidoqueen,Y
Nidoranm,N
Nidorino,N
Nidoking,N
Clefairy,N
Clefable,N
Vulpix,N
Ninetales,Y
Jigglypuff,N
Wigglytuff,N
Zubat,N
Golbat,Y
Oddish,N
Gloom,N
Vileplume,Y
Paras,N
Parasect,Y
Venonat,N
Venomoth,N
Diglett,N
Dugtrio,Y
Meowth,N
Persian,N
Psyduck,N
Golduck,Y
Mankey,N
Primeape,N
Growlithe,N
Arcanine,N
Poliwag,N
Poliwhirl,N
Poliwrath,Y
Abra,N
Kadabra,N
Alakazam,Y
Machop,N
Machoke,N
Machamp,Y
Bellsprout,N
Weepinbell,N
Victreebel,N
Tentacool,N
Tentacruel,N
Geodude,N
Graveler,N
Golem,Y
Ponyta,N
Rapidash,N
Slowpoke,N
Slowbro,Y
Magnemite,N
Magneton,Y
Farfetchd,N
Doduo,N
Dodrio,N
Seel,N
Dewgong,N
Grimer,N
Muk,Y
Shellder,N
Cloyster,Y
Gastly,N
Haunter,N
Gengar,Y
Onix,N
Drowzee,N
Hypno,Y
Krabby,N
Kingler,N
Voltorb,N
Electrode,Y
Exeggcute,N
Exeggutor,Y
Cubone,N
Marowak,N
Hitmonlee,N
Hitmonchan,N
Lickitung,N
Koffing,N
Weezing,N
Rhyhorn,N
Rhydon,N
Chansey,Y
Tangela,Y
Kangaskhan,N
Horsea,N
Seadra,N
Goldeen,N
Seaking,N
Staryu,N
Starmie,Y
Mrmime,N
Scyther,N
Jynx,Y
Electabuzz,Y
Magmar,Y
Pinsir,Y
Tauros,Y
Magikarp,N
Gyarados,Y
Lapras,N
Ditto,N
Eevee,N
Vaporeon,N
Jolteon,N
Flareon,Y
Porygon,Y
Omanyte,N
Omastar,N
Kabuto,N
Kabutops,Y
Aerodactyl,Y
Snorlax,Y
Articuno,Y
Zapdos,Y
Moltres,Y
Dratini,N
Dragonair,N
Dragonite,Y
Mewtwo,N
Mew,Y
