Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,NA
Beedrill,rby,Bug,Poison,65,80,40,45,75,305,, NA
Fearow,rby,Normal,Flying,65,90,65,61,100,381,, NA
Pikachu,rby,Electric,,35,55,30,50,90,260,, NA
Nidoqueen,rby,Poison,Ground,90,82,87,75,76,410,, NA
Nidoking,rby,Poison,Ground,81,92,77,75,85,410,, NA
Dugtrio,rby,Ground,,35,80,50,70,120,355,, NA
Primeape,rby,Fighting,,65,105,60,60,95,385,, NA
Arcanine,rby,Fire,,90,110,80,80,95,455,, NA
Alakazam,rby,Psychic,,55,50,45,135,120,405,, NA
Machamp,rby,Fighting,,90,130,80,65,55,420,, NA
Golem,rby,Rock,Ground,80,110,130,55,45,420,, NA
Magneton,rby,Electric,,50,60,95,120,70,395,, NA
Cloyster,rby,Water,Ice,50,95,180,85,70,480,, NA
Gengar,rby,Ghost,Poison,60,65,60,130,110,425,, NA
Onix,rby,Rock,Ground,35,45,160,30,70,340,, NA
Hypno,rby,Psychic,,85,73,70,115,67,410,, NA
Electrode,rby,Electric,,60,50,70,80,140,400,, NA
Exeggutor,rby,Grass,Psychic,95,95,85,125,55,455,, NA
Chansey,rby,Normal,,250,5,5,105,50,415,, NA
Kangaskhan,rby,Normal,,105,95,80,40,90,410,, NA
Starmie,rby,Water,Psychic,60,75,85,100,115,435,, NA
Scyther,rby,Bug,Flying,70,110,80,55,105,420,, NA
Jynx,rby,Ice,Psychic,65,50,35,95,95,340,, NA
Pinsir,rby,Bug,,65,125,100,55,85,430,, NA
Tauros,rby,Normal,,75,100,95,70,110,450,, NA
Gyarados,rby,Water,Flying,95,125,79,100,81,480,, NA
Lapras,rby,Water,Ice,130,85,80,95,60,450,, NA
Ditto,rby,Normal,,48,48,48,48,48,240,, NA
Vaporeon,rby,Water,,130,65,60,110,65,430,, NA
Jolteon,rby,Electric,,65,65,60,110,130,430,, NA
Flareon,rby,Fire,,65,130,60,110,65,430,, NA
Aerodactyl,rby,Rock,Flying,80,105,65,60,130,440,, NA
Snorlax,rby,Normal,,160,110,65,65,30,430,, NA
