Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Bulbasaur,rby,Grass,Poison,45,49,49,65,45,253,, NA
Ivysaur,rby,Grass,Poison,60,62,63,80,60,325,, NA
Venusaur,rby,Grass,Poison,80,82,83,100,80,425,, NA
Charmander,rby,Fire,,39,52,43,50,65,249,, NA
Charmeleon,rby,Fire,,58,64,58,65,80,325,, NA
Charizard,rby,Fire,Flying,78,84,78,85,100,425,, NA
Squirtle,rby,Water,,44,48,65,50,43,250,, NA
Wartortle,rby,Water,,59,63,80,65,58,325,, NA
Blastoise,rby,Water,,79,83,100,85,78,425,, NA
Caterpie,rby,Bug,,45,30,35,20,45,175,, NA
Metapod,rby,Bug,,50,20,55,25,30,180,, NA
Butterfree,rby,Bug,Flying,60,45,50,80,70,305,, NA
Weedle,rby,Bug,Poison,40,35,30,20,50,175,, NA
Kakuna,rby,Bug,Poison,45,25,50,25,35,180,, NA
Beedrill,rby,Bug,Poison,65,80,40,45,75,305,, NA
Pidgey,rby,Normal,Flying,40,45,40,35,56,216,, NA
Pidgeotto,rby,Normal,Flying,63,60,55,50,71,299,, NA
Pidgeot,rby,Normal,Flying,83,80,75,70,91,399,, NA
Rattata,rby,Normal,,30,56,35,25,72,218,, NA
Raticate,rby,Normal,,55,81,60,50,97,343,, NA
Spearow,rby,Normal,Flying,40,60,30,31,70,231,, NA
Fearow,rby,Normal,Flying,65,90,65,61,100,381,, NA
Ekans,rby,Poison,,35,60,44,40,55,234,, NA
Arbok,rby,Poison,,60,85,69,65,80,359,, NA
Pikachu,rby,Electric,,35,55,30,50,90,260,, NA
Raichu,rby,Electric,,60,90,55,90,100,395,, NA
Sandshrew,rby,Ground,,50,75,85,30,40,280,, NA
Sandslash,rby,Ground,,75,100,110,55,65,405,, NA
Nidoranf,rby,Poison,,55,47,52,40,41,235,, NA
Nidorina,rby,Poison,,70,62,67,55,56,310,, NA
Nidoqueen,rby,Poison,Ground,90,82,87,75,76,410,, NA
Nidoranm,rby,Poison,,46,57,40,40,50,233,, NA
Nidorino,rby,Poison,,61,72,57,55,65,310,, NA
Nidoking,rby,Poison,Ground,81,92,77,75,85,410,, NA
Clefairy,rby,Normal,,70,45,48,60,35,258,, NA
Clefable,rby,Normal,,95,70,73,85,60,383,, NA
Vulpix,rby,Fire,,38,41,40,65,65,249,, NA
Ninetales,rby,Fire,,73,76,75,100,100,424,, NA
Jigglypuff,rby,Normal,,115,45,20,25,20,225,, NA
Wigglytuff,rby,Normal,,140,70,45,50,45,350,, NA
