Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Venusaur,rby,Grass,Poison,80,102,83,100,80,445,RRIB
Charizard,rby,Fire,Dragon,78,84,78,85,100,425,RRIB
Blastoise,rby,Water,Ground,79,83,100,85,78,425,RRIB
Butterfree,rby,Bug,Psychic,70,55,70,95,70,360,RRIB
Beedrill,rby,Bug,Poison,65,100,40,45,125,375,RRIB
Pidgeot,rby,Normal,Flying,83,100,75,70,101,429,RRIB
Raticate,rby,Normal,,70,91,75,65,97,398,RRIB
Fearow,rby,Normal,Flying,75,90,65,61,100,391,RRIB
Arbok,rby,Poison,,80,105,69,65,100,419,RRIB
Raichu,rby,Electric,Water,60,90,55,90,100,395,RRIB
Sandslash,rby,Ground,,75,115,110,55,65,420,RRIB
Nidoqueen,rby,Poison,Ground,90,82,97,75,76,420,RRIB
Nidoking,rby,Poison,Ground,81,102,77,75,85,420,RRIB
Clefable,rby,Normal,,95,70,73,95,60,393,RRIB
Ninetales,rby,Fire,Psychic,73,76,75,100,100,424,RRIB
Wigglytuff,rby,Normal,Psychic,140,85,65,70,45,405,RRIB
Golbat,rby,Poison,Flying,85,90,80,85,90,430,RRIB
Vileplume,rby,Grass,Poison,60,80,85,100,50,375,RRIB
Parasect,rby,Bug,,90,115,90,80,30,405,RRIB
Venomoth,rby,Bug,Poison,80,85,65,90,95,415,RRIB
Dugtrio,rby,Ground,Ground,35,100,50,70,120,375,RRIB
Persian,rby,Normal,,65,70,60,65,115,375,RRIB
Golduck,rby,Water,Ghost,80,82,78,80,85,405,RRIB
Primeape,rby,Fighting,,65,105,60,60,135,425,RRIB
Arcanine,rby,Fire,Normal,90,110,80,80,95,455,RRIB
Poliwrath,rby,Water,Fighting,90,115,95,70,70,440,RRIB
Alakazam,rby,Psychic,,55,50,45,135,120,405,RRIB
Machamp,rby,Fighting,,100,140,85,65,55,445,RRIB
Victreebel,rby,Grass,Poison,80,105,65,100,70,420,RRIB
Tentacruel,rby,Water,Poison,80,90,65,120,100,455,RRIB
Golem,rby,Rock,Ground,80,110,130,55,45,420,RRIB
Rapidash,rby,Fire,,65,100,70,100,135,470,RRIB
Slowbro,rby,Water,Psychic,95,75,110,80,30,390,RRIB
Magneton,rby,Electric,Rock,70,60,95,120,70,415,RRIB
Farfetchd,rby,Grass,Flying,69,90,65,78,79,381,RRIB
Dodrio,rby,Normal,Flying,60,110,70,60,100,400,RRIB
Dewgong,rby,Water,Ice,90,70,80,95,70,405,RRIB
Muk,rby,Poison,,140,110,85,75,50,460,RRIB
Cloyster,rby,Water,Ice,50,95,180,85,70,480,RRIB
Gengar,rby,Ghost,Poison,60,65,60,130,110,425,RRIB
Onix,rby,Rock,Ground,65,85,160,40,70,420,RRIB
Hypno,rby,Psychic,Fighting,85,93,70,115,67,430,RRIB
Kingler,rby,Water,,55,130,115,50,75,425,RRIB
Electrode,rby,Electric,Normal,65,65,70,95,140,435,RRIB
Exeggutor,rby,Grass,Psychic,95,95,85,125,55,455,RRIB
Marowak,rby,Ground,,80,180,110,70,45,485,RRIB
Hitmonlee,rby,Fighting,Normal,50,120,63,35,97,365,RRIB
Hitmonchan,rby,Fighting,,50,110,79,110,76,425,RRIB
Lickitung,rby,Normal,,100,75,85,85,50,395,RRIB
Weezing,rby,Poison,,65,90,170,85,60,470,RRIB
Rhydon,rby,Ground,Rock,105,130,120,45,40,440,RRIB
Chansey,rby,Normal,,250,5,5,105,50,415,RRIB
Tangela,rby,Grass,,85,65,115,105,60,430,RRIB
Kangaskhan,rby,Normal,Ground,105,95,80,40,90,410,RRIB
Seadra,rby,Water,Dragon,65,65,100,100,85,415,RRIB
Seaking,rby,Water,,80,102,65,90,78,415,RRIB
Starmie,rby,Water,Psychic,60,75,85,100,115,435,RRIB
Mrmime,rby,Psychic,Electric,40,45,65,110,105,365,RRIB
Scyther,rby,Bug,Flying,70,110,80,55,105,420,RRIB
Jynx,rby,Ice,Psychic,65,50,35,95,95,340,RRIB
Electabuzz,rby,Electric,Fighting,65,93,57,95,105,415,RRIB
Magmar,rby,Fire,Fighting,65,95,57,95,103,415,RRIB
Pinsir,rby,Bug,,65,125,100,55,85,430,RRIB
Tauros,rby,Normal,,75,100,95,70,110,450,RRIB
Gyarados,rby,Water,Flying,95,125,79,100,81,480,RRIB
Lapras,rby,Water,Ice,130,85,80,95,60,450,RRIB
Ditto,rby,Normal,,108,58,58,58,128,410,RRIB
Vaporeon,rby,Water,,130,65,60,110,65,430,RRIB
Jolteon,rby,Electric,,65,65,60,110,130,430,RRIB
Flareon,rby,Fire,,95,130,60,110,65,460,RRIB
Porygon,rby,Normal,,75,85,80,95,50,385,RRIB
Omastar,rby,Rock,Water,60,60,105,100,55,380,RRIB
Kabutops,rby,Rock,Water,60,115,105,70,80,430,RRIB
Aerodactyl,rby,Rock,Flying,80,105,65,60,130,440,RRIB
Snorlax,rby,Normal,,160,110,65,65,30,430,RRIB
Articuno,rby,Ice,Flying,90,85,100,125,85,485,RRIB
Zapdos,rby,Electric,Flying,90,90,85,125,100,490,RRIB
Moltres,rby,Fire,Flying,90,100,90,125,90,495,RRIB
Dragonite,rby,Dragon,Flying,91,134,95,100,80,500,RRIB
Mewtwo,rby,Psychic,,66,110,60,144,90,470,RRIB
Mew,rby,Psychic,,80,80,80,80,80,400,RRIB
