,RRIB
Bulbasaur,N
Ivysaur,N
Venusaur,Y
Charmander,N
Charmeleon,N
Charizard,Y
Squirtle,N
Wartortle,N
Blastoise,Y
Caterpie,N
Metapod,N
Butterfree,Y
Weedle,N
Kakuna,N
Beedrill,Y
Pidgey,N
Pidgeotto,N
Pidgeot,Y
Rattata,N
Raticate,Y
Spearow,N
Fearow,Y
Ekans,N
Arbok,Y
Pikachu,N
Raichu,Y
Sandshrew,N
Sandslash,Y
Nidoranf,N
Nidorina,N
Nidoqueen,Y
Nidoranm,N
Nidorino,N
Nidoking,Y
Clefairy,N
Clefable,Y
Vulpix,N
Ninetales,Y
Jigglypuff,N
Wigglytuff,Y
Zubat,N
Golbat,Y
Oddish,N
Gloom,N
Vileplume,Y
Paras,N
Parasect,Y
Venonat,N
Venomoth,Y
Diglett,N
Dugtrio,Y
Meowth,N
Persian,Y
Psyduck,N
Golduck,Y
Mankey,N
Primeape,Y
Growlithe,N
Arcanine,Y
Poliwag,N
Poliwhirl,N
Poliwrath,Y
Abra,N
Kadabra,N
Alakazam,Y
Machop,N
Machoke,N
Machamp,Y
Bellsprout,N
Weepinbell,N
Victreebel,Y
Tentacool,N
Tentacruel,Y
Geodude,N
Graveler,N
Golem,Y
Ponyta,N
Rapidash,Y
Slowpoke,N
Slowbro,Y
Magnemite,N
Magneton,Y
Farfetchd,Y
Doduo,N
Dodrio,Y
Seel,N
Dewgong,Y
Grimer,N
Muk,Y
Shellder,N
Cloyster,Y
Gastly,N
Haunter,N
Gengar,Y
Onix,Y
Drowzee,N
Hypno,Y
Krabby,N
Kingler,Y
Voltorb,N
Electrode,Y
Exeggcute,N
Exeggutor,Y
Cubone,N
Marowak,Y
Hitmonlee,Y
Hitmonchan,Y
Lickitung,Y
Koffing,N
Weezing,Y
Rhyhorn,N
Rhydon,Y
Chansey,Y
Tangela,Y
Kangaskhan,Y
Horsea,N
Seadra,Y
Goldeen,N
Seaking,Y
Staryu,N
Starmie,Y
Mrmime,Y
Scyther,Y
Jynx,Y
Electabuzz,Y
Magmar,Y
Pinsir,Y
Tauros,Y
Magikarp,N
Gyarados,Y
Lapras,Y
Ditto,Y
Eevee,N
Vaporeon,Y
Jolteon,Y
Flareon,Y
Porygon,Y
Omanyte,N
Omastar,Y
Kabuto,N
Kabutops,Y
Aerodactyl,Y
Snorlax,Y
Articuno,Y
Zapdos,Y
Moltres,Y
Dratini,N
Dragonair,N
Dragonite,Y
Mewtwo,Y
Mew,Y
