Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Bulbasaur,tradebacks,Grass,Poison,45,49,49,65,45,253,1U
Ivysaur,tradebacks,Grass,Poison,60,62,63,80,60,325,1U
Venusaur,tradebacks,Grass,Poison,80,82,83,100,80,425,1U
Charmander,tradebacks,Fire,,39,52,43,50,65,249,1U
Charmeleon,tradebacks,Fire,,58,64,58,65,80,325,1U
Charizard,tradebacks,Fire,Flying,78,84,78,85,100,425,1U
Squirtle,tradebacks,Water,,44,48,65,50,43,250,1U
Wartortle,tradebacks,Water,,59,63,80,65,58,325,1U
Blastoise,tradebacks,Water,,79,83,100,85,78,425,1U
Caterpie,tradebacks,Bug,,45,30,35,20,45,175,1U
Metapod,tradebacks,Bug,,50,20,55,25,30,180,1U
Butterfree,tradebacks,Bug,Flying,60,45,50,80,70,305,1U
Weedle,tradebacks,Bug,Poison,40,35,30,20,50,175,1U
Kakuna,tradebacks,Bug,Poison,45,25,50,25,35,180,1U
Beedrill,tradebacks,Bug,Poison,65,80,40,45,75,305,1U
Pidgey,tradebacks,Normal,Flying,40,45,40,35,56,216,1U
Pidgeotto,tradebacks,Normal,Flying,63,60,55,50,71,299,1U
Pidgeot,tradebacks,Normal,Flying,83,80,75,70,91,399,1U
Rattata,tradebacks,Normal,,30,56,35,25,72,218,1U
Raticate,tradebacks,Normal,,55,81,60,50,97,343,1U
Spearow,tradebacks,Normal,Flying,40,60,30,31,70,231,1U
Fearow,tradebacks,Normal,Flying,65,90,65,61,100,381,1U
Ekans,tradebacks,Poison,,35,60,44,40,55,234,1U
Arbok,tradebacks,Poison,,60,85,69,65,80,359,1U
Pikachu,tradebacks,Electric,,35,55,30,50,90,260,1U
Raichu,tradebacks,Electric,,60,90,55,90,100,395,1U
Sandshrew,tradebacks,Ground,,50,75,85,30,40,280,1U
Sandslash,tradebacks,Ground,,75,100,110,55,65,405,1U
Nidoranf,tradebacks,Poison,,55,47,52,40,41,235,1U
Nidorina,tradebacks,Poison,,70,62,67,55,56,310,1U
Nidoqueen,tradebacks,Poison,Ground,90,82,87,75,76,410,1U
Nidoranm,tradebacks,Poison,,46,57,40,40,50,233,1U
Nidorino,tradebacks,Poison,,61,72,57,55,65,310,1U
Nidoking,tradebacks,Poison,Ground,81,92,77,75,85,410,1U
Clefairy,tradebacks,Normal,,70,45,48,60,35,258,1U
Clefable,tradebacks,Normal,,95,70,73,85,60,383,1U
Vulpix,tradebacks,Fire,,38,41,40,65,65,249,1U
Ninetales,tradebacks,Fire,,73,76,75,100,100,424,1U
Jigglypuff,tradebacks,Normal,,115,45,20,25,20,225,1U
Wigglytuff,tradebacks,Normal,,140,70,45,50,45,350,1U
Zubat,tradebacks,Poison,Flying,40,45,35,40,55,215,1U
Golbat,tradebacks,Poison,Flying,75,80,70,75,90,390,1U
Oddish,tradebacks,Grass,Poison,45,50,55,75,30,255,1U
Gloom,tradebacks,Grass,Poison,60,65,70,85,40,320,1U
Vileplume,tradebacks,Grass,Poison,75,80,85,100,50,390,1U
Paras,tradebacks,Bug,Grass,35,70,55,55,25,240,1U
Parasect,tradebacks,Bug,Grass,60,95,80,80,30,345,1U
Venonat,tradebacks,Bug,Poison,60,55,50,40,45,250,1U
Venomoth,tradebacks,Bug,Poison,70,65,60,90,90,375,1U
Diglett,tradebacks,Ground,,10,55,25,45,95,230,1U
Dugtrio,tradebacks,Ground,,35,80,50,70,120,355,1U
Meowth,tradebacks,Normal,,40,45,35,40,90,250,1U
Persian,tradebacks,Normal,,65,70,60,65,115,375,1U
Psyduck,tradebacks,Water,,50,52,48,50,55,255,1U
Golduck,tradebacks,Water,,80,82,78,80,85,405,1U
Mankey,tradebacks,Fighting,,40,80,35,35,70,260,1U
Primeape,tradebacks,Fighting,,65,105,60,60,95,385,1U
Growlithe,tradebacks,Fire,,55,70,45,50,60,280,1U
Arcanine,tradebacks,Fire,,90,110,80,80,95,455,1U
Poliwag,tradebacks,Water,,40,50,40,40,90,260,1U
Poliwhirl,tradebacks,Water,,65,65,65,50,90,335,1U
Poliwrath,tradebacks,Water,Fighting,90,85,95,70,70,410,1U
Abra,tradebacks,Psychic,,25,20,15,105,90,255,1U
Kadabra,tradebacks,Psychic,,40,35,30,120,105,330,1U
Alakazam,tradebacks,Psychic,,55,50,45,135,120,405,1U
Machop,tradebacks,Fighting,,70,80,50,35,35,270,1U
Machoke,tradebacks,Fighting,,80,100,70,50,45,345,1U
Machamp,tradebacks,Fighting,,90,130,80,65,55,420,1U
Bellsprout,tradebacks,Grass,Poison,50,75,35,70,40,270,1U
Weepinbell,tradebacks,Grass,Poison,65,90,50,85,55,345,1U
Victreebel,tradebacks,Grass,Poison,80,105,65,100,70,420,1U
Tentacool,tradebacks,Water,Poison,40,40,35,100,70,285,1U
Tentacruel,tradebacks,Water,Poison,80,70,65,120,100,435,1U
Geodude,tradebacks,Rock,Ground,40,80,100,30,20,270,1U
Graveler,tradebacks,Rock,Ground,55,95,115,45,35,345,1U
Golem,tradebacks,Rock,Ground,80,110,130,55,45,420,1U
Ponyta,tradebacks,Fire,,50,85,55,65,90,345,1U
Rapidash,tradebacks,Fire,,65,100,70,80,105,420,1U
Slowpoke,tradebacks,Water,Psychic,90,65,65,40,15,275,1U
Slowbro,tradebacks,Water,Psychic,95,75,110,80,30,390,1U
Magnemite,tradebacks,Electric,,25,35,70,95,45,270,1U
Magneton,tradebacks,Electric,,50,60,95,120,70,395,1U
Farfetchd,tradebacks,Normal,Flying,52,65,55,58,60,290,1U
Doduo,tradebacks,Normal,Flying,35,85,45,35,75,275,1U
Dodrio,tradebacks,Normal,Flying,60,110,70,60,100,400,1U
Seel,tradebacks,Water,,65,45,55,70,45,280,1U
Dewgong,tradebacks,Water,Ice,90,70,80,95,70,405,1U
Grimer,tradebacks,Poison,,80,80,50,40,25,275,1U
Muk,tradebacks,Poison,,105,105,75,65,50,400,1U
Shellder,tradebacks,Water,,30,65,100,45,40,280,1U
Cloyster,tradebacks,Water,Ice,50,95,180,85,70,480,1U
Gastly,tradebacks,Ghost,Poison,30,35,30,100,80,275,1U
