Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Charizard,violet,Fire,Dragon,78,84,78,85,100,425,-
Blastoise,violet,Water,Ground,79,83,100,85,78,425,-
Butterfree,violet,Bug,Psychic,70,55,60,95,80,360,-
Beedrill,violet,Bug,Poison,65,80,40,45,130,360,-
Pidgeot,violet,Normal,Flying,83,110,75,105,100,473,-
Arbok,violet,Poison,,60,105,69,65,100,399,-
Nidoqueen,violet,Poison,Ground,90,92,87,75,85,429,-
Ninetales,violet,Fire,Psychic,73,76,75,100,100,424,-
Golbat,violet,Poison,Flying,85,90,80,80,90,425,-
Vileplume,violet,Grass,Poison,80,105,85,100,80,450,-
Parasect,violet,Bug,Grass,90,115,130,80,30,445,-
Dugtrio,violet,Ground,,35,110,50,70,120,385,-
Golduck,violet,Water,Ghost,90,82,78,80,95,425,-
Poliwrath,violet,Water,Fighting,90,115,95,70,70,440,-
Alakazam,violet,Psychic,,55,50,45,135,120,405,-
Machamp,violet,Fighting,,100,130,100,65,55,450,-
Golem,violet,Rock,Ground,80,110,130,55,45,420,-
Slowbro,violet,Water,Psychic,95,75,110,80,30,390,-
Magneton,violet,Electric,Rock,120,60,95,120,70,465,-
Muk,violet,Poison,,135,105,85,65,50,440,-
Cloyster,violet,Water,Ice,50,95,180,85,70,480,-
Gengar,violet,Ghost,Poison,60,65,60,130,110,425,-
Hypno,violet,Psychic,,85,113,70,115,67,450,-
Electrode,violet,Electric,,65,65,70,110,140,450,-
Exeggutor,violet,Grass,Psychic,95,95,85,125,55,455,-
Chansey,violet,Normal,,250,5,5,105,50,415,-
Tangela,violet,Grass,,85,55,115,100,60,415,-
Starmie,violet,Water,Psychic,60,75,85,100,115,435,-
Jynx,violet,Ice,Psychic,65,50,35,115,95,360,-
Electabuzz,violet,Electric,Fighting,65,83,57,85,105,395,-
Magmar,violet,Fire,Fighting,65,95,57,85,120,422,-
Pinsir,violet,Bug,,65,135,100,55,85,440,-
Tauros,violet,Normal,,75,100,95,70,110,450,-
Gyarados,violet,Water,Flying,95,125,79,100,81,480,-
Flareon,violet,Fire,,115,130,90,110,65,510,-
Porygon,violet,Normal,Ghost,75,80,80,105,85,425,-
Kabutops,violet,Rock,Water,60,115,135,70,80,460,-
Aerodactyl,violet,Rock,Flying,80,105,65,60,130,440,-
Snorlax,violet,Normal,,160,110,65,65,30,430,-
Articuno,violet,Ice,Flying,90,85,100,125,85,485,-
Zapdos,violet,Electric,Flying,90,90,85,125,100,490,-
Moltres,violet,Fire,Flying,90,100,90,125,90,495,-
Dragonite,violet,Dragon,Flying,91,134,95,100,80,500,-
Mew,violet,Psychic,,70,70,70,70,70,350,-
